Title,Cleaned_Title,Cleaned Title
director of clearing services,Director of Clearing Services,
director of settlement services,Director of Settlement Services,
director of corporate actions,Director of Corporate Actions,
director of proxy voting,Director of Proxy Voting,
director of shareholder services,Director of Shareholder Services,
director of transfer agency,Director of Transfer Agency,
director of fund accounting,Director of Fund Accounting,
director of fund administration,Director of Fund Administration,
director of fund compliance,Director of Fund Compliance,
director of fund operations,Director of Fund Operations,
director of fund services,Director of Fund Services,
director of fund marketing,Director of Fund Marketing,
director of fund distribution,Director of Fund Distribution,
director of fund sales,Director of Fund Sales,
director of fund strategy,Director of Fund Strategy,
director of fund development,Director of Fund Development,
director of fund innovation,Director of Fund Innovation,
director of fund technology,Director of Fund Technology,
director of fund transformation,Director of Fund Transformation,
director of fund governance,Director of Fund Governance,
director of fund risk,Director of Fund Risk,
director of fund compliance,Director of Fund Compliance,
director of fund audit,Director of Fund Audit,
director of fund tax,Director of Fund Tax,
director of fund legal,Director of Fund Legal,
director of fund finance,Director of Fund Finance,
director of fund accounting,Director of Fund Accounting,
director of fund reporting,Director of Fund Reporting,
director of fund operations,Director of Fund Operations,
director of fund services,Director of Fund Services,
director of fund technology,Director of Fund Technology,
director of fund transformation,Director of Fund Transformation,
director of fund governance,Director of Fund Governance,
director of fund risk,Director of Fund Risk,
director of fund compliance,Director of Fund Compliance,
director of fund audit,Director of Fund Audit,
director of fund tax,Director of Fund Tax,
director of fund legal,Director of Fund Legal,
director of fund finance,Director of Fund Finance,
director of fund accounting,Director of Fund Accounting,
director of fund reporting,Director of Fund Reporting,
director of fund operations,Director of Fund Operations,
director of fund services,Director of Fund Services,
marketing manager,Marketing Manager,
sales manager,Sales Manager,
finance manager,Finance Manager,
human resources manager,Human Resources Manager,
information technology manager,Information Technology Manager,
operations manager,Operations Manager,
product development manager,Product Development Manager,
customer service manager,Customer Service Manager,
engineering manager,Engineering Manager,
business development manager,Business Development Manager,
communications manager,Communications Manager,
research manager,Research Manager,
legal affairs manager,Legal Affairs Manager,
strategy manager,Strategy Manager,
design manager,Design Manager,
analytics manager,Analytics Manager,
data science manager,Data Science Manager,
public relations manager,Public Relations Manager,
quality assurance manager,Quality Assurance Manager,
regulatory affairs manager,Regulatory Affairs Manager,
compliance manager,Compliance Manager,
corporate development manager,Corporate Development Manager,
procurement manager,Procurement Manager,
supply chain manager,Supply Chain Manager,
training and development manager,Training and Development Manager,
manufacturing manager,Manufacturing Manager,
facilities manager,Facilities Manager,
security manager,Security Manager,
maintenance manager,Maintenance Manager,
logistics manager,Logistics Manager,
digital marketing manager,Digital Marketing Manager,
e-commerce manager,E-commerce Manager,
social media manager,Social Media Manager,
content marketing manager,Content Marketing Manager,
brand manager,Brand Manager,
creative services manager,Creative Services Manager,
user experience manager,User Experience Manager,
client services manager,Client Services Manager,
partnerships manager,Partnerships Manager,
innovation manager,Innovation Manager,
talent acquisition manager,Talent Acquisition Manager,
compensation and benefits manager,Compensation and Benefits Manager,
employee relations manager,Employee Relations Manager,
learning and development manager,Learning and Development Manager,
organizational development manager,Organizational Development Manager,
performance management manager,Performance Management Manager,
diversity and inclusion manager,Diversity and Inclusion Manager,
corporate social responsibility manager,Corporate Social Responsibility Manager,
environmental sustainability manager,Environmental Sustainability Manager,
health and safety manager,Health and Safety Manager,
crisis management manager,Crisis Management Manager,
government affairs manager,Government Affairs Manager,
investor relations manager,Investor Relations Manager,
market research manager,Market Research Manager,
sales operations manager,Sales Operations Manager,
technical support manager,Technical Support Manager,
customer experience manager,Customer Experience Manager,
service delivery manager,Service Delivery Manager,
it infrastructure manager,IT Infrastructure Manager,
it security manager,IT Security Manager,
software development manager,Software Development Manager,
systems integration manager,Systems Integration Manager,
network engineering manager,Network Engineering Manager,
database administration manager,Database Administration Manager,
cloud services manager,Cloud Services Manager,
mobile development manager,Mobile Development Manager,
web development manager,Web Development Manager,
application development manager,Application Development Manager,
enterprise architecture manager,Enterprise Architecture Manager,
it governance manager,IT Governance Manager,
it compliance manager,IT Compliance Manager,
cybersecurity manager,Cybersecurity Manager,
risk management manager,Risk Management Manager,
internal audit manager,Internal Audit Manager,
financial planning and analysis manager,Financial Planning and Analysis Manager,
treasury manager,Treasury Manager,
tax manager,Tax Manager,
financial reporting manager,Financial Reporting Manager,
accounting manager,Accounting Manager,
budgeting manager,Budgeting Manager,
corporate finance manager,Corporate Finance Manager,
strategic planning manager,Strategic Planning Manager,
business intelligence manager,Business Intelligence Manager,
competitive intelligence manager,Competitive Intelligence Manager,
product management manager,Product Management Manager,
product marketing manager,Product Marketing Manager,
project management manager,Project Management Manager,
program management manager,Program Management Manager,
pmo manager,PMO Manager,
portfolio management manager,Portfolio Management Manager,
change management manager,Change Management Manager,
vendor management manager,Vendor Management Manager,
contract management manager,Contract Management Manager,
sourcing manager,Sourcing Manager,
supply chain operations manager,Supply Chain Operations Manager,
warehouse operations manager,Warehouse Operations Manager,
distribution manager,Distribution Manager,
import/export manager,Import/Export Manager,
freight manager,Freight Manager,
transportation manager,Transportation Manager,
inventory management manager,Inventory Management Manager,
materials management manager,Materials Management Manager,
planning manager,Planning Manager,
scheduling manager,Scheduling Manager,
production manager,Production Manager,
manufacturing engineering manager,Manufacturing Engineering Manager,
process engineering manager,Process Engineering Manager,
quality control manager,Quality Control Manager,
industrial engineering manager,Industrial Engineering Manager,
maintenance engineering manager,Maintenance Engineering Manager,
reliability engineering manager,Reliability Engineering Manager,
lean manufacturing manager,Lean Manufacturing Manager,
six sigma manager,Six Sigma Manager,
continuous improvement manager,Continuous Improvement Manager,
operational excellence manager,Operational Excellence Manager,
environmental health and safety manager,Environmental Health and Safety Manager,
product safety manager,Product Safety Manager,
clinical operations manager,Clinical Operations Manager,
medical affairs manager,Medical Affairs Manager,
clinical research manager,Clinical Research Manager,
regulatory compliance manager,Regulatory Compliance Manager,
pharmacovigilance manager,Pharmacovigilance Manager,
bioinformatics manager,Bioinformatics Manager,
biostatistics manager,Biostatistics Manager,
lab operations manager,Lab Operations Manager,
quality management manager,Quality Management Manager,
patient safety manager,Patient Safety Manager,
nursing manager,Nursing Manager,
radiology manager,Radiology Manager,
pharmacy manager,Pharmacy Manager,
rehabilitation manager,Rehabilitation Manager,
social services manager,Social Services Manager,
case management manager,Case Management Manager,
behavioral health manager,Behavioral Health Manager,
home health manager,Home Health Manager,
hospice manager,Hospice Manager,
health information management manager,Health Information Management Manager,
medical records manager,Medical Records Manager,
medical billing manager,Medical Billing Manager,
medical coding manager,Medical Coding Manager,
revenue cycle management manager,Revenue Cycle Management Manager,
utilization management manager,Utilization Management Manager,
managed care manager,Managed Care Manager,
provider relations manager,Provider Relations Manager,
health plan operations manager,Health Plan Operations Manager,
health policy manager,Health Policy Manager,
healthcare analytics manager,Healthcare Analytics Manager,
health economics manager,Health Economics Manager,
health informatics manager,Health Informatics Manager,
telehealth manager,Telehealth Manager,
population health manager,Population Health Manager,
public health manager,Public Health Manager,
community health manager,Community Health Manager,
global health manager,Global Health Manager,
health promotion manager,Health Promotion Manager,
wellness programs manager,Wellness Programs Manager,
fitness manager,Fitness Manager,
nutrition manager,Nutrition Manager,
spa operations manager,Spa Operations Manager,
hospitality manager,Hospitality Manager,
hotel operations manager,Hotel Operations Manager,
restaurant operations manager,Restaurant Operations Manager,
food and beverage manager,Food and Beverage Manager,
catering manager,Catering Manager,
event planning manager,Event Planning Manager,
convention services manager,Convention Services Manager,
guest services manager,Guest Services Manager,
housekeeping manager,Housekeeping Manager,
property management manager,Property Management Manager,
real estate manager,Real Estate Manager,
leasing manager,Leasing Manager,
asset management manager,Asset Management Manager,
facilities management manager,Facilities Management Manager,
maintenance management manager,Maintenance Management Manager,
construction manager,Construction Manager,
architecture manager,Architecture Manager,
urban planning manager,Urban Planning Manager,
engineering services manager,Engineering Services Manager,
environmental services manager,Environmental Services Manager,
landscape architecture manager,Landscape Architecture Manager,
transportation planning manager,Transportation Planning Manager,
water resources manager,Water Resources Manager,
waste management manager,Waste Management Manager,
energy management manager,Energy Management Manager,
renewable energy manager,Renewable Energy Manager,
sustainability manager,Sustainability Manager,
corporate responsibility manager,Corporate Responsibility Manager,
community relations manager,Community Relations Manager,
philanthropy manager,Philanthropy Manager,
development manager,Development Manager,
fundraising manager,Fundraising Manager,
alumni relations manager,Alumni Relations Manager,
volunteer services manager,Volunteer Services Manager,
grant management manager,Grant Management Manager,
research development manager,Research Development Manager,
academic affairs manager,Academic Affairs Manager,
student affairs manager,Student Affairs Manager,
admissions manager,Admissions Manager,
enrollment management manager,Enrollment Management Manager,
financial aid manager,Financial Aid Manager,
career services manager,Career Services Manager,
academic advising manager,Academic Advising Manager,
international programs manager,International Programs Manager,
study abroad manager,Study Abroad Manager,
student activities manager,Student Activities Manager,
campus life manager,Campus Life Manager,
residence life manager,Residence Life Manager,
athletics manager,Athletics Manager,
recreational sports manager,Recreational Sports Manager,
campus recreation manager,Campus Recreation Manager,
intramural sports manager,Intramural Sports Manager,
sports information manager,Sports Information Manager,
sports medicine manager,Sports Medicine Manager,
athletic training manager,Athletic Training Manager,
equipment operations manager,Equipment Operations Manager,
facilities operations manager,Facilities Operations Manager,
sports marketing manager,Sports Marketing Manager,
ticket sales manager,Ticket Sales Manager,
fan engagement manager,Fan Engagement Manager,
community engagement manager,Community Engagement Manager,
youth programs manager,Youth Programs Manager,
senior programs manager,Senior Programs Manager,
family programs manager,Family Programs Manager,
arts and culture manager,Arts and Culture Manager,
performing arts manager,Performing Arts Manager,
visual arts manager,Visual Arts Manager,
museum operations manager,Museum Operations Manager,
exhibition design manager,Exhibition Design Manager,
curatorial affairs manager,Curatorial Affairs Manager,
collections management manager,Collections Management Manager,
art education manager,Art Education Manager,
public programs manager,Public Programs Manager,
special events manager,Special Events Manager,
media relations manager,Media Relations Manager,
digital strategy manager,Digital Strategy Manager,
multimedia manager,Multimedia Manager,
broadcasting manager,Broadcasting Manager,
journalism manager,Journalism Manager,
publishing manager,Publishing Manager,
editorial services manager,Editorial Services Manager,
content strategy manager,Content Strategy Manager,
video production manager,Video Production Manager,
photography manager,Photography Manager,
animation manager,Animation Manager,
graphic design manager,Graphic Design Manager,
interactive media manager,Interactive Media Manager,
ux/ui manager,UX & UI Manager,
game design manager,Game Design Manager,
software engineering manager,Software Engineering Manager,
hardware engineering manager,Hardware Engineering Manager,
embedded systems manager,Embedded Systems Manager,
iot manager,IoT Manager,
ai manager,AI Manager,
machine learning manager,Machine Learning Manager,
robotics manager,Robotics Manager,
automation manager,Automation Manager,
blockchain manager,Blockchain Manager,
ar/vr manager,AR/VR Manager,
quantum computing manager,Quantum Computing Manager,
cyber-physical systems manager,Cyber-Physical Systems Manager,
network security manager,Network Security Manager,
data security manager,Data Security Manager,
information assurance manager,Information Assurance Manager,
ethical hacking manager,Ethical Hacking Manager,
it risk manager,IT Risk Manager,
it audit manager,IT Audit Manager,
business continuity manager,Business Continuity Manager,
disaster recovery manager,Disaster Recovery Manager,
incident response manager,Incident Response Manager,
it operations manager,IT Operations Manager,
it service management manager,IT Service Management Manager,
devops manager,DevOps Manager,
agile manager,Agile Manager,
scrum manager,Scrum Manager,
kanban manager,Kanban Manager,
safe manager,SAFe Manager,
it strategy manager,IT Strategy Manager,
it governance manager,IT Governance Manager,
it compliance manager,IT Compliance Manager,
it architecture manager,IT Architecture Manager,
enterprise solutions manager,Enterprise Solutions Manager,
erp manager,ERP Manager,
crm manager,CRM Manager,
scm manager,SCM Manager,
hris manager,HRIS Manager,
lms manager,LMS Manager,
bi manager,BI Manager,
data warehousing manager,Data Warehousing Manager,
big data manager,Big Data Manager,
data integration manager,Data Integration Manager,
etl manager,ETL Manager,
data analytics manager,Data Analytics Manager,
predictive analytics manager,Predictive Analytics Manager,
prescriptive analytics manager,Prescriptive Analytics Manager,
data visualization manager,Data Visualization Manager,
business analytics manager,Business Analytics Manager,
web analytics manager,Web Analytics Manager,
marketing analytics manager,Marketing Analytics Manager,
sales analytics manager,Sales Analytics Manager,
operations analytics manager,Operations Analytics Manager,
financial analytics manager,Financial Analytics Manager,
customer analytics manager,Customer Analytics Manager,
hr analytics manager,HR Analytics Manager,
supply chain analytics manager,Supply Chain Analytics Manager,
logistics analytics manager,Logistics Analytics Manager,
manufacturing analytics manager,Manufacturing Analytics Manager,
quality analytics manager,Quality Analytics Manager,
risk analytics manager,Risk Analytics Manager,
compliance analytics manager,Compliance Analytics Manager,
fraud analytics manager,Fraud Analytics Manager,
credit analytics manager,Credit Analytics Manager,
insurance analytics manager,Insurance Analytics Manager,
actuarial services manager,Actuarial Services Manager,
claims management manager,Claims Management Manager,
underwriting manager,Underwriting Manager,
reinsurance manager,Reinsurance Manager,
pension services manager,Pension Services Manager,
benefits administration manager,Benefits Administration Manager,
wealth management manager,Wealth Management Manager,
investment management manager,Investment Management Manager,
asset allocation manager,Asset Allocation Manager,
portfolio analysis manager,Portfolio Analysis Manager,
quantitative analysis manager,Quantitative Analysis Manager,
equity research manager,Equity Research Manager,
fixed income research manager,Fixed Income Research Manager,
commodity research manager,Commodity Research Manager,
real estate research manager,Real Estate Research Manager,
esg research manager,ESG Research Manager,
sustainable investing manager,Sustainable Investing Manager,
impact investing manager,Impact Investing Manager,
private equity manager,Private Equity Manager,
venture capital manager,Venture Capital Manager,
hedge fund manager,Hedge Fund Manager,
fund administration manager,Fund Administration Manager,
investor relations manager,Investor Relations Manager,
trading manager,Trading Manager,
brokerage manager,Brokerage Manager,
custody services manager,Custody Services Manager,
clearing services manager,Clearing Services Manager,
settlement services manager,Settlement Services Manager,
corporate actions manager,Corporate Actions Manager,
proxy voting manager,Proxy Voting Manager,
shareholder services manager,Shareholder Services Manager,
transfer agency manager,Transfer Agency Manager,
fund accounting manager,Fund Accounting Manager,
fund compliance manager,Fund Compliance Manager,
fund operations manager,Fund Operations Manager,
fund services manager,Fund Services Manager,
fund marketing manager,Fund Marketing Manager,
fund distribution manager,Fund Distribution Manager,
fund sales manager,Fund Sales Manager,
fund strategy manager,Fund Strategy Manager,
fund development manager,Fund Development Manager,
fund innovation manager,Fund Innovation Manager,
fund technology manager,Fund Technology Manager,
fund transformation manager,Fund Transformation Manager,
fund governance manager,Fund Governance Manager,
fund risk manager,Fund Risk Manager,
fund audit manager,Fund Audit Manager,
fund tax manager,Fund Tax Manager,
fund legal manager,Fund Legal Manager,
fund finance manager,Fund Finance Manager,
vice president,Vice President,
chairman,Chairman,
president,President,
owner,Owner,
co-owner,Co-Owner,
founder,Founder,
founding partner,Founding Partner,
co-founder,Co-Founder,
"director, operations & e-Commerce",Director of Operations & E-Commerce,
marketing director,Marketing Director,
sales director,Sales Director,
finance director,Finance Director,
human resources director,Human Resources Director,
information technology director,Information Technology Director,
operations director,Operations Director,
product development director,Product Development Director,
customer service director,Customer Service Director,
engineering director,Engineering Director,
business development director,Business Development Director,
communications director,Communications Director,
research director,Research Director,
legal affairs director,Legal Affairs Director,
strategy director,Strategy Director,
design director,Design Director,
analytics director,Analytics Director,
data science director,Data Science Director,
public relations director,Public Relations Director,
quality assurance director,Quality Assurance Director,
regulatory affairs director,Regulatory Affairs Director,
compliance director,Compliance Director,
corporate development director,Corporate Development Director,
procurement director,Procurement Director,
supply chain director,Supply Chain Director,
training and development director,Training And Development Director,
manufacturing director,Manufacturing Director,
facilities director,Facilities Director,
security director,Security Director,
maintenance director,Maintenance Director,
logistics director,Logistics Director,
digital marketing director,Digital Marketing Director,
e-commerce director,E-Commerce Director,
social media director,Social Media Director,
content marketing director,Content Marketing Director,
brand director,Brand Director,
creative services director,Creative Services Director,
user experience director,User Experience Director,
client services director,Client Services Director,
partnerships director,Partnerships Director,
innovation director,Innovation Director,
talent acquisition director,Talent Acquisition Director,
compensation and benefits director,Compensation And Benefits Director,
employee relations director,Employee Relations Director,
learning and development director,Learning And Development Director,
organizational development director,Organizational Development Director,
performance management director,Performance Management Director,
diversity and inclusion director,Diversity And Inclusion Director,
corporate social responsibility director,Corporate Social Responsibility Director,
environmental sustainability director,Environmental Sustainability Director,
health and safety director,Health And Safety Director,
crisis management director,Crisis Management Director,
marketing director,Marketing Director,
sales director,Sales Director,
finance director,Finance Director,
human resources director,Human Resources Director,
information technology director,Information Technology Director,
operations director,Operations Director,
product development director,Product Development Director,
customer service director,Customer Service Director,
engineering director,Engineering Director,
business development director,Business Development Director,
communications director,Communications Director,
research director,Research Director,
legal affairs director,Legal Affairs Director,
strategy director,Strategy Director,
design director,Design Director,
analytics director,Analytics Director,
data science director,Data Science Director,
public relations director,Public Relations Director,
quality assurance director,Quality Assurance Director,
regulatory affairs director,Regulatory Affairs Director,
compliance director,Compliance Director,
corporate development director,Corporate Development Director,
procurement director,Procurement Director,
supply chain director,Supply Chain Director,
training and development director,Training And Development Director,
manufacturing director,Manufacturing Director,
facilities director,Facilities Director,
security director,Security Director,
maintenance director,Maintenance Director,
logistics director,Logistics Director,
digital marketing director,Digital Marketing Director,
e-commerce director,E-Commerce Director,
social media director,Social Media Director,
content marketing director,Content Marketing Director,
brand director,Brand Director,
creative services director,Creative Services Director,
user experience director,User Experience Director,
client services director,Client Services Director,
partnerships director,Partnerships Director,
innovation director,Innovation Director,
talent acquisition director,Talent Acquisition Director,
compensation and benefits director,Compensation And Benefits Director,
employee relations director,Employee Relations Director,
learning and development director,Learning And Development Director,
organizational development director,Organizational Development Director,
performance management director,Performance Management Director,
diversity and inclusion director,Diversity And Inclusion Director,
corporate social responsibility director,Corporate Social Responsibility Director,
environmental sustainability director,Environmental Sustainability Director,
health and safety director,Health And Safety Director,
crisis management director,Crisis Management Director,
technical director,Technical Director,
"president, Co-Owner",President,
sales&marketing director,Sales & Marketing Director,
commercial director,Commercial Director,
creative director,Creative Director,
director of marketing&exports,Director of Marketing & Exports,
director of government contracts,Director of Government Contracts,
director of revenue management,Director of Revenue Management,
director of safety and risk management,Director of Safety and Risk Management,
director of eBusiness,Director of e-Business,
managing director,Managing Director,
laten america director,Director,
"Founder, CEO",Founder,
Co-Founder / Managing Director,Co-Founder,
Founding Partner & CEO,Founding Partner,
CEO and President,CEO,
President | COO,President,
"Managing Director, COO",Managing Director,
CUO & President,CUO,
Founder | COO,Founder,
Co-Founder and CUO,Co-Founder,
"Founding Partner, President",Founding Partner,
Managing Director - Founder,Founder,
CEO / Founding Partner,Founding Partner,
President & Managing Director,President,
COO and Founding Partner,Founding Partner,
"CUO, Co-Founder",Co-Founder,
Founder - COO,Founder,
Co-Founder | Founding Partner,Co-Founder,
Managing Director and CUO,Managing Director,
"CEO, Founding Partner",CEO,
President and COO,President,
Director X / Founder,Founder,
Manager Y and Co-Founder,Co-Founder,
Director X and Founding Partner,Founding Partner,
"Manager Y, CEO",CEO,
Director X & President,President,
Manager Y | COO,COO,
CUO and Director X,CUO,
Founder and Manager Y,Founder,
Co-Founder & Director X,Co-Founder,
Founder & CEO,Founder,
Co-Founder and CEO,Co-Founder,
President / Founder,Founder,
COO / Co-Founder,Co-Founder,
Founding Partner and President,Founding Partner,
Managing Director / Founder,Founder,
CEO and Co-Founder,CEO,
President and Managing Director,President,
Founder and Managing Director,Founder,
"Co-Founder, President",Co-Founder,
CEO & Founder,CEO,
President / Co-Founder,President,
Managing Director & Founding Partner,Founding Partner,
CUO / Co-Founder,Co-Founder,
Director of Operations / Founder,Founder,
Founder | President,Founder,
Co-Founder & Managing Director,Co-Founder,
President / CUO,President,
Founding Partner and Managing Director,Founding Partner,
CEO and Founding Partner,CEO,
Managing Director / CUO,Managing Director,
Founder / President,Founder,
Co-Founder & CEO,Co-Founder,
President and Co-Founder,President,
CEO / President,CEO,
COO / President,COO,
Managing Director | Founder,Founder,
Founding Partner / President,Founding Partner,
CEO / Managing Director,CEO,
Director of Operations & Founder,Founder,
President / CEO,President,
Managing Director | CUO,Managing Director,
Founder & COO,Founder,
Co-Founder | CEO,Co-Founder,
Director of Engineering and Manager of R&D,Director of Engineering,
Marketing Director and Sales Manager,Marketing Director,
Operations Director and Manager of HR,Operations Director,
Director of IT and Manager of Support,Director of IT,
Finance Director and Accounting Manager,Finance Director,
Director of Product and Project Manager,Director of Product,
Human Resources Director and Manager,Human Resources Director,
Customer Success Director and Manager,Customer Success Director,
Director of Research and Lab Manager,Director of Research,
Information Technology Director and IT Manager,Information Technology Director,
CEO/Founder,Founder,
"Founding Director, COO & CTO",Founding Director,
Co-founder & CPO,Co-Founder,
Founder & Non-Executive Director,Founder,
Founder - Group Chief Underwriting Officer,Founder,
Director and Founder of new Lloyd's Brokers,Founder,
Director and Founder,Founder,
Founder - Group Chief Underwriting Officer,Founder,
Founder & Senior Adviser,Founder,
Founder & Non-Executive Director,Founder,
"Founder & Editor, Assured Intelligence and Co-founder at Assured",Founder,
Founder & Engagement Lead,Founder,
Founder & Executive Director,Founder,
Founder & Director of Insurance,Founder,
Founder & Chief Ideas Officer,Founder,
Founder & Managing Director - M & M Group,Founder,
Distribution Director and Co-Founder,Co-Founder,
Director at iam|INSURED Online and CoFounder,Co-Founder,
Director at 24|7 Home Rescue & CEO,CEO,
FD & Chief Operating Officer,Founding Director,
"Accelerating growth in Private Equity backed ventures, CFO - COO",COO,
"Accelerating growth Manager in AX backed ventures, CFO",CFO,
Founder Insurance Broker Innovative Corporate Solutions Niche,Founder,
Founder MD @ PORTABL.co | Digital insurance & financial services || Advisor: TURNTABL.io > Remote (Ghana!) software engineering talent on tap >> inspired by the future,Founder,
MD and founding partner A&B Insurance Brokers ( part,Founding Partner,
Managing Director - Founder,Founder,
Managing Director / CEO,CEO,
Managing Director / Co-founder,Co-Founder,
Office Manager/PA to CEO,PA to CEO,
PA to CEO & Board,PA to CEO,
PA to CEO /Office Manager,PA to CEO,
Partner - CEO,CEO,
President & Chief Operating Officer,President,
Private Medical Insurance & Protection Specialist and Founder,Founder,
Protection Specialist and Founding Director,Founding Director,
UK COO,COO,
md ceo,CEO,
Group Chief Executive Officer & Chief Underwriting Officer,CEO,
Founder and Principal Consultant,Founder,
Founder and Chairman,Founder,
Founder and Chartered Financial Planner,Founder,
Founder and Chief Commercial Officer,Founder,
Founder and Commercial Director,Founder,
Founder and Director of FOMO Mortgages,Founder,
Founder and Executive Director,Founder,
"Founder, Owner & Managing Director at Leadenhall Insurance Brokers Ltd",Founder,
COO & In-House Counsel,COO,
Chair & Founder/Owner,Founder,
Chief Finance and Operating Officer,COO,
Chief Operating Officer & Partner,COO,
"Chief Operating Officer for France, Spain, Germany & Italy",COO,
CEO at Ventis,CEO,
"Business Manager, UK CEO Office",CEO,
CEO & Director of Business Development,CEO,
CEO - Acrisure London Wholesale,CEO,
Co-Founder and Chief Marketing Officer,Co-Founder,
Co-Founder and CUO at Amphitrite Underwriting Limited,Co-Founder,
Co-Founder & Operations Director,Co-Founder,
Co-Founder & Actuarial Director,Co-Founder,
Co-CEO,CEO,
"Co Owner, Founder, Director",Founder,
"Co Owner, Director",Co-Owner,
Cofounder and COO,Co-Founder,
Founder & Chief Digital Officer,Founder,
Founder and Director of FOMO Mortgages,Founder,
Founder Insurance Broker Innovative Corporate Solutions Niche,Founder,
Group CEO - WillU Financial Group,CEO,
Founder and Chief Operating Officer,Founder,
Founder and Mortgage Broker,Founder,
Founder and Senior Partner,Founder,
Founder and Senior Partner,Founder,
Founder at Ballantyne Brokers Limited,Founder,
Founder/Director at Vita Risk Solutions,Founder,
Founding Director & CEO,Founding Director,
CEO and co-founder,Co-Founder,
"CEO, and Founder",CEO,
CFO & Co-Founder,Co-Founder,
CTO & Co-founder,Co-Founder,
CUO & Founder,Founder,
Commercial COO,COO,
Chief Executive Officer and Sustainability Officer,CEO,
"Chief Executive Officer, Active Underwriter",CEO,
Chief Operating Officer & Partner,COO,
Chief Operating Officer and Managing Director Pharmacy Insurance,COO,
CEO and Head of Asset Management Underwriting,CEO,
CEO & Chief Underwriting Officer,CEO,
CEO & Director of Business Development,CEO,
CEO & Managing Partner,CEO,
CEO - Founder,Founder,
CEO - MGA,CEO,
CEO / Founder,CEO,
CEO Alchemy Underwriting Ltd.,CEO,
CEO Alchemy Underwriting PI,CEO,
CEO Citadel Risk Group,CEO,
CEO Property Services,CEO,
Chief Operating Officer/Strategic Business Analytics,COO,
Co-Founder and Chief Underwriting Officer,Co-Founder,
"Co-Founder, Chief Underwriting Officer",Co-Founder,
"Co-Founder, Vice President, and Treasurer",Co-Founder,
Co-Founder/Head Of Operations,Co-Founder,
Co-founder & CTO,Co-Founder,
Acting COO & Head of Underwriting,COO,
Co-founder and CPTO,Co-Founder,
Co-founder and Head of Underwriting,Co-Founder,
Cofounder and COO,Co-Founder,
"Cofounder, CEO",Co-Founder,
Co-Founder and Chief Marketing Officer,Co-Founder,
Co Founder & CTO,Co-Founder,
Co-Founder & Actuarial Director,Co-Founder,
Co-Founder & CTO,Co-Founder,
Co-Founder & Chief Operating Officer,Co-Founder,
Co-Founder & Innovation Director,Co-Founder,
Co-Founder & Operations Director,Co-Founder,
Co-Founder / Operations Director,Co-Founder,
Group CEO,CEO,
Founder and CEO,Founder,
Co-Founder & Mortgage Adviser,Co-Founder,
Co-founder and Director,Co-Founder,
Co Founder/Director,Co-Founder,
Director,Director,
Fleet Maintenance Director,Fleet Maintenance Director,
Marketing and IT Director,Marketing and IT Director,
Executive Sales Director,Executive Sales Director,
Owner of Evridges inc,Owner,
Event Director,Event Director,
"Director, HR Planning and Operations",Director of HR Planning and Operations,
Company Director,Director  ,
Director Relations Representative on behalf of the CEO,Director,
"Director of Marketing, Manager of Sales",,Director of Marketing
Manager of HR / Director of Operations,,Director of Operations
Manager of IT - Director of Engineering,,Director of Engineering
Director of Finance & Manager of Customer Service,,Director of Finance
Manager of Product Development; Director of Legal,,Director of Legal
Director of Communications | Manager of Supply Chain,,Director of Communications
Manager of Customer Service : Director of Business Development,,Director of Business Development
"  director of Innovation , manager of operations ",,director of Innovation
Manager of Sales|DIRECTOR OF MARKETING,,DIRECTOR OF MARKETING
manager of IT / director of FINANCE,,director of FINANCE
"Lead Manager of Operations, Senior Director of Marketing",,Senior Director of Marketing
Assistant Manager of HR / Executive Director of Operations,,Executive Director of Operations
Manager of Regional Sales - Global Director of Product,,Global Director of Product
Manager of IT and Director of Engineering,,Director of Engineering
Director of Finance & COO,,COO
Manager and Director,,Director
"Manager of Sales (temporary role), Director of Marketing (permanent)",,Director of Marketing
"Acting Manager of Operations, Interim Director of Legal",,Interim Director of Legal
"Manager of Sales (project), Director of Marketing (team lead)",,Director of Marketing
"Manager of IT, Manager of Sales, Director of Engineering",,Director of Engineering
"Manager of Sales, Director of Marketing, Director of Sales",,Director of Marketing
"Manager of Product Development, Director of Finance",,Director of Finance
Director of Legal / Manager of Operations,,Director of Legal
Manager of Communications - Director of Business Development,,Director of Business Development
Senior Manager of IT / Executive Director of Engineering,,Executive Director of Engineering
"COO, Director of Marketing",,COO
"Manager of Sales, CUO",,CUO
CTO | Manager of IT,,CTO
Director of Operations - CMO,,CMO
Manager of HR / COO,,COO
CUO and Manager of Finance,,CUO
Director of Legal & CTO,,CTO
"Manager of Product Development, CMO",,CMO
CTO / Director of Communications,,CTO
Manager of Customer Service : COO,,COO
COO | Manager of Operations,,COO
"Manager of Sales, CTO",,CTO
CUO & Manager of IT,,CUO
CMO / Director of Marketing,,CMO
"Director of Product, CUO",,CUO
CTO and Director of Engineering,,CTO
Manager of IT / CUO,,CUO
Director of Finance - COO,,COO
"Manager of Operations, CTO",,CTO
Director of Legal | CMO,,CMO
COO and Manager of Sales,,COO
CUO / Director of Operations,,CUO
Director of Communications : CTO,,CTO
Manager of Customer Service & COO,,COO
CTO | Director of Product Development,,CTO
Manager of Sales - CMO,,CMO
CUO | Manager of Product Development,,CUO
"COO, Director of Legal",,COO
"Director of Marketing, CMO",,CMO
Manager of Operations / CUO,,CUO
